                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.75802,                0.58905,                0.85587,                0.70878,                0.64484,                 0.6382,                0.45588,                0.85808,                0.79645,                0.90293,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     88,                0.75848,                0.56334,                0.85565,                0.72398,                0.65156,                0.67915,                0.47979,                0.86112,                 0.8011,                0.90128,             9.2513e-05,             9.2513e-05,             9.2513e-05
                     89,                0.78212,                 0.5715,                0.85187,                0.75757,                0.63024,                0.65057,                 0.4613,                0.86542,                0.81319,                0.90337,              8.591e-05,              8.591e-05,              8.591e-05
                     90,                0.75132,                0.56666,                 0.8464,                0.76223,                0.64223,                0.66405,                0.47188,                 0.8629,                0.80517,                0.90213,             7.9306e-05,             7.9306e-05,             7.9306e-05
                     91,                0.78468,                0.61703,                 0.8607,                0.75843,                0.63458,                0.63057,                0.42842,                0.89888,                0.81753,                0.91092,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     92,                0.75776,                0.58765,                0.85572,                0.73104,                0.62318,                0.62054,                0.43353,                0.87972,                0.81527,                0.90977,               6.61e-05,               6.61e-05,               6.61e-05
                     93,                 0.7384,                0.57323,                0.84862,                0.71093,                0.65358,                0.60693,                 0.4216,                0.89482,                0.83009,                0.91211,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     94,                0.73337,                0.55963,                0.85724,                 0.6565,                0.67183,                 0.6152,                0.42253,                0.87883,                0.83275,                0.90702,             5.2893e-05,             5.2893e-05,             5.2893e-05
                     95,                0.74295,                0.56595,                0.84956,                0.63836,                0.66701,                0.62032,                0.42629,                0.88335,                0.84635,                0.90733,              4.629e-05,              4.629e-05,              4.629e-05
                     96,                0.72585,                0.54469,                0.85144,                0.62725,                0.70994,                0.63712,                0.43965,                0.87643,                0.85055,                0.90676,             3.9687e-05,             3.9687e-05,             3.9687e-05
                     97,                0.71446,                0.55192,                0.85139,                0.62474,                0.67536,                0.62627,                0.43676,                0.87089,                0.83407,                0.90602,             3.3083e-05,             3.3083e-05,             3.3083e-05
                     98,                0.71637,                  0.538,                0.84654,                0.62311,                0.67913,                0.62892,                0.43659,                0.87977,                  0.823,                0.90747,              2.648e-05,              2.648e-05,              2.648e-05
                     99,                0.71935,                0.53852,                0.84235,                 0.6175,                 0.6781,                0.62639,                0.43545,                0.87119,                0.82998,                0.90646,             1.9877e-05,             1.9877e-05,             1.9877e-05
                    100,                0.68942,                0.52643,                0.84372,                0.61325,                0.67843,                0.62587,                0.43578,                 0.8709,                0.82664,                0.90564,             1.3273e-05,             1.3273e-05,             1.3273e-05
